,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind_Speed
87,iralaya,88,HN,1552530461,79,15.0,-83.23,79.26,9.31
88,scarborough,92,GB,1552530183,81,54.28,-0.41,45.46,20.8
89,hasaki,20,JP,1552529977,31,35.73,140.83,51.26,17.22
90,provideniya,88,RU,1552530284,100,64.42,-173.23,20.58,28.54
91,prainha,56,BR,1552530461,97,-1.8,-53.48,75.12,2.82
92,cidreira,12,BR,1552530291,89,-30.17,-50.22,71.16,9.19
93,hwange,0,ZW,1552530462,51,-18.35,26.5,72.01,10.98
94,castro,0,CL,1552525200,81,-42.48,-73.76,50.0,5.82
95,cairns,40,AU,1552530201,62,-16.92,145.77,88.56,13.87
96,ostersund,64,SE,1552530104,92,63.18,14.64,25.68,11.41
97,ribeira grande,20,PT,1552530249,97,38.52,-28.7,60.31,15.57
98,pacific grove,1,US,1552530292,66,36.62,-121.92,53.28,8.05
99,simao,0,CN,1552530463,47,22.76,100.79,73.54,2.82
100,georgetown,75,GY,1552525200,83,6.8,-58.16,77.81,11.41
101,butaritari,92,KI,1552530269,100,3.07,172.79,77.14,13.22
102,kurchum,0,KZ,1552530463,68,48.57,83.65,16.66,2.48
103,ilulissat,20,GL,1552528200,59,69.22,-51.1,3.2,14.99
104,tautira,75,PF,1552530183,66,-17.73,-149.15,84.11,6.93
105,katobu,56,ID,1552530464,82,-4.94,122.53,86.23,8.52
106,seoul,40,KR,1552530000,45,37.57,126.98,42.8,5.82
107,bani,0,PH,1552530276,80,15.89,120.27,82.05,2.04
108,tessalit,0,ML,1552530372,31,20.2,1.01,49.33,3.83
109,huarmey,36,PE,1552530464,83,-10.07,-78.15,68.59,2.93
110,abbeville,90,FR,1552530431,81,50.11,1.83,44.76,17.22
111,myre,88,SE,1552529916,93,62.25,17.37,33.91,10.29
112,dikson,88,RU,1552530274,96,73.51,80.55,13.56,24.74
113,isawa,0,NG,1552530465,39,11.56,10.22,67.96,7.4
114,kondagaon,0,IN,1552530465,53,19.59,81.66,77.91,3.38
115,bogoslovka,92,RU,1552530466,88,56.8,86.72,32.46,9.64
116,lady frere,76,ZA,1552530466,100,-31.7,27.23,49.96,0.69
117,sao jose da coroa grande,92,BR,1552530466,100,-8.9,-35.15,77.1,2.48
118,luderitz,12,NA,1552530331,91,-26.65,15.16,56.71,11.54
119,jawad,0,IN,1552530466,50,24.6,74.86,68.28,2.93
120,nhulunbuy,20,AU,1552527000,62,-12.18,136.78,87.8,9.17
121,fukue,40,JP,1552530408,100,35.03,136.69,47.75,14.99
122,ishigaki,75,JP,1552528800,64,24.34,124.16,73.4,12.75
123,baherden,0,TM,1552530467,65,38.44,57.43,46.41,3.27
124,san cristobal,40,EC,1552529714,81,-0.39,-78.55,54.55,11.41
125,bethel,1,US,1552528380,69,60.79,-161.76,37.74,8.05
126,najran,0,SA,1552528800,45,17.54,44.22,66.2,4.7
127,hobart,0,AU,1552530256,32,-42.88,147.33,67.84,10.29
128,ampanihy,0,MG,1552530468,81,-24.69,44.75,69.58,9.31
129,port alfred,56,ZA,1552530137,90,-33.59,26.89,62.46,7.74
130,tasiilaq,75,GL,1552524600,85,65.61,-37.64,24.8,2.24
131,cherskiy,0,RU,1552530262,64,68.75,161.3,-8.36,0.92
132,hithadhoo,32,MV,1552530266,100,-0.6,73.08,83.08,8.41
133,kapaa,75,US,1552530211,73,22.08,-159.32,75.06,14.99
134,point pleasant,40,US,1552530317,56,40.08,-74.07,41.54,9.17
135,broken hill,0,AU,1552525200,23,-31.97,141.45,73.4,6.93
136,stromness,90,CA,1552530422,72,42.87,-79.55,39.38,12.75
137,avarua,100,CK,1552527000,70,-21.21,-159.78,84.2,20.8
138,taoudenni,0,ML,1552530344,34,22.68,-3.98,51.99,7.4
139,funtua,0,NG,1552530470,37,11.52,7.31,67.47,7.96
140,fairbanks,75,US,1552530026,47,64.84,-147.72,36.63,10.29
141,itoman,20,JP,1552528800,45,26.12,127.67,67.06,9.17
142,kapenguria,0,KE,1552530470,79,1.25,35.09,44.56,2.26
143,bud,92,NO,1552530000,100,62.91,6.91,33.53,11.41
144,tashara,88,RU,1552530471,95,55.52,83.51,32.1,10.42
145,guasdualito,40,VE,1552528800,58,7.24,-70.73,84.2,8.63
146,pishva,0,IR,1552530184,56,35.31,51.73,48.27,9.17
147,port augusta,0,AU,1552529879,47,-32.49,137.76,76.95,10.29
148,abu dhabi,40,AE,1552527960,93,24.47,54.37,61.09,3.36
149,neyshabur,8,IR,1552530472,64,36.21,58.79,33.45,1.7
150,ipixuna,75,BR,1552528800,94,-1.76,-48.8,77.0,3.36
151,lopsmarka,75,NO,1552530091,54,67.31,14.45,28.09,27.51
152,salalah,0,OM,1552524600,49,17.01,54.1,71.6,3.36
153,otukpo,0,NG,1552530472,84,7.19,8.13,77.37,7.29
154,yellowknife,20,CA,1552528800,60,62.45,-114.38,8.6,4.7
155,forssa,92,FI,1552530019,94,60.82,23.63,31.73,1.01
156,jamestown,0,AU,1552530161,92,-33.21,138.6,69.81,4.38
157,grand gaube,20,MU,1552530245,78,-20.01,57.66,73.6,5.82
158,port lincoln,0,AU,1552530279,85,-34.72,135.86,68.46,6.62
159,hare bay,20,CA,1552530164,73,48.86,-53.99,24.69,2.24
160,zyryanka,12,RU,1552530303,67,65.73,150.89,2.26,3.15
161,yuxia,0,CN,1552525200,34,34.06,108.63,48.2,4.47
162,rocha,92,UY,1552530339,94,-34.48,-54.34,65.31,12.1
163,alyangula,40,AU,1552525200,59,-13.85,136.42,89.6,5.82
164,pimentel,92,BR,1552530474,97,-3.7,-45.5,74.76,1.48
165,isla mujeres,5,MX,1552530182,78,21.23,-86.73,78.39,10.29
166,hirara,40,JP,1552528800,56,24.8,125.28,73.44,14.99
167,chaohu,0,CN,1552525200,58,31.63,117.88,57.2,8.95
168,ust-ishim,92,RU,1552530475,92,57.69,71.17,28.99,6.17
169,bom jesus do itabapoana,68,BR,1552530476,90,-21.13,-41.68,71.11,2.26
170,srednekolymsk,24,RU,1552530476,65,67.46,153.71,3.03,2.59
171,shingu,40,JP,1552528800,34,33.72,135.99,53.6,17.22
172,paamiut,0,GL,1552530477,100,61.99,-49.67,21.43,24.29
173,north platte,90,US,1552530317,80,41.12,-100.77,29.01,39.15
174,chumikan,80,RU,1552530477,87,54.72,135.31,23.19,7.07
175,zhezkazgan,90,KZ,1552528800,92,47.8,67.71,14.0,4.47
176,maniitsoq,0,GL,1552530283,91,65.42,-52.9,-1.66,6.4
177,skjervoy,76,NO,1552530477,100,70.03,20.97,23.14,10.42
178,longyearbyen,20,NO,1552528200,70,78.22,15.63,-0.41,1.12
179,papara,75,BR,1552529889,94,-3.98,-38.73,75.09,3.36
180,betong,0,MY,1552530478,65,5.77,101.07,84.43,3.49
181,samarai,100,PG,1552530478,100,-10.62,150.67,78.76,15.23
182,kendari,36,ID,1552530478,66,-3.99,122.52,87.54,6.17
183,harlingen,1,US,1552530215,83,26.19,-97.7,76.53,17.22
184,huangpu,20,CN,1552530462,81,31.23,121.48,52.38,17.9
185,calvinia,32,ZA,1552530479,75,-31.47,19.78,50.55,2.59
186,oriximina,64,BR,1552530479,88,-1.77,-55.87,78.09,5.28
187,naze,12,NG,1552530252,94,5.43,7.07,75.43,6.85
188,cangzhou,0,CN,1552530480,62,38.3,116.85,53.38,10.2
189,tucurui,68,BR,1552530480,96,-3.77,-49.67,75.16,1.59
190,bay roberts,5,CA,1552530202,86,47.58,-53.28,27.07,8.05
191,jodhpur,0,IN,1552530480,73,26.3,73.04,60.99,6.85
192,hay river,20,CA,1552528800,78,60.82,-115.79,10.4,3.38
193,sao joao da barra,32,BR,1552530345,93,-21.64,-41.05,83.94,26.53
194,ariquemes,0,BR,1552530481,77,-9.91,-63.03,77.59,2.82
195,sangmelima,88,CM,1552530481,92,2.93,11.98,72.6,2.82
196,half moon bay,1,US,1552530467,71,37.46,-122.43,54.73,13.87
197,sitka,12,US,1552530254,72,37.17,-99.65,42.76,27.76
198,hami,0,CN,1552530482,46,42.84,93.51,46.05,2.15
199,buchanan,75,LR,1552528800,94,5.88,-10.05,78.8,3.36
200,nikolskoye,0,RU,1552530035,85,59.7,30.79,21.51,11.18
201,fortuna,0,ES,1552530271,71,38.18,-1.13,47.82,6.93
202,nelson bay,75,AU,1552530251,61,-32.72,152.14,79.12,16.11
203,qaanaaq,44,GL,1552530287,100,77.48,-69.36,-4.72,11.99
204,verkhnyaya inta,64,RU,1552530483,73,65.99,60.32,16.89,5.61
205,norman wells,20,CA,1552528800,65,65.28,-126.83,6.8,5.82
206,santa isabel,40,CO,1552528800,83,4.71,-75.1,75.2,5.82
207,ilhabela,56,BR,1552530355,95,-23.78,-45.36,82.32,10.42
208,pangnirtung,24,CA,1552530269,54,66.15,-65.72,-11.06,5.28
209,kigoma,44,TZ,1552530485,100,-4.88,29.64,75.88,2.15
210,noumea,92,NC,1552528800,94,-22.28,166.46,77.0,3.36
211,lai,8,CN,1552530486,46,27.82,91.75,48.21,1.36
212,macas,92,EC,1552530486,96,-2.3,-78.12,65.31,2.93
213,edd,24,ER,1552530486,76,13.93,41.69,67.56,2.37
214,meulaboh,12,ID,1552530486,100,4.14,96.13,82.23,2.59
215,goure,0,NE,1552530487,24,13.98,10.27,74.58,12.77
216,vanimo,68,PG,1552530381,98,-2.67,141.3,83.08,15.57
217,basar,0,IN,1552527000,88,27.98,94.69,64.4,1.92
218,pangkalanbuun,8,ID,1552530121,94,-2.68,111.62,84.66,4.61
219,lagoa,0,PT,1552530155,41,37.14,-8.45,52.5,16.11
220,champasak,40,LA,1552525200,69,14.89,105.88,82.4,6.93
221,novoorsk,0,RU,1552525200,91,51.38,58.98,35.6,15.66
222,guerrero negro,56,MX,1552530297,96,27.97,-114.04,53.07,7.96
223,porto belo,40,BR,1552530486,94,-27.15,-48.54,74.41,5.82
224,chiang khong,0,LA,1552525200,88,20.27,100.41,62.6,2.82
225,hamilton,90,CA,1552530087,91,43.26,-79.87,35.8,12.75
226,two hills,0,CA,1552530488,79,53.71,-111.75,19.54,8.97
227,mangrol,20,IN,1552527000,59,25.33,76.51,66.2,4.94
228,rawson,92,AR,1552530257,93,-43.3,-65.11,58.69,12.21
229,ponta do sol,44,BR,1552530269,91,-20.63,-46.0,67.74,2.26
230,waitati,92,NZ,1552530404,61,-45.75,170.57,57.99,8.01
231,yuksekova,40,TR,1552525200,64,37.57,44.29,39.2,6.93
232,shalya,76,RU,1552530489,83,57.25,58.73,20.13,2.71
233,newport,92,GB,1552530487,93,51.59,-3.0,46.15,24.16
234,kangaatsiaq,56,GL,1552530491,100,68.31,-53.46,8.88,5.84
235,puerto quijarro,12,BO,1552530323,90,-19.0,-57.72,77.01,1.7
236,visnes,92,NO,1552530422,93,59.36,5.22,39.11,8.05
237,shieli,0,KZ,1552530492,74,44.18,66.74,40.29,3.27
238,richards bay,12,ZA,1552530492,90,-28.77,32.06,72.28,6.06
239,teguldet,92,RU,1552530492,80,57.31,88.17,33.04,8.63
240,codrington,75,AU,1552530298,58,-28.95,153.24,84.36,4.7
241,biak,76,ID,1552530255,95,-0.91,122.88,80.07,3.49
242,barisal,0,BD,1552530493,75,22.7,90.37,82.41,4.16
243,kimamba,88,TZ,1552530493,95,-6.79,37.14,67.65,1.59
244,kampot,20,KH,1552528800,84,10.62,104.18,86.0,6.93
245,kutum,8,SD,1552530493,16,14.2,24.66,60.45,10.2
246,kruisfontein,80,ZA,1552530261,86,-34.0,24.73,60.45,4.72
247,voyinka,8,UA,1552530494,89,45.87,33.99,28.59,4.72
248,listvyanskiy,56,RU,1552530494,96,54.44,83.49,26.29,9.19
249,upernavik,36,GL,1552530338,100,72.79,-56.15,-3.77,1.7
250,airai,24,TL,1552530277,66,-8.93,125.41,81.69,1.92
251,cabo san lucas,20,MX,1552530024,60,22.89,-109.91,65.77,8.05
252,honiara,48,SB,1552530494,87,-9.43,159.96,80.61,2.71
253,calabozo,12,VE,1552530494,54,8.92,-67.43,83.76,13.67
254,bathsheba,20,BB,1552528800,78,13.22,-59.52,78.8,14.99
255,ust-maya,64,RU,1552530495,73,60.42,134.54,16.71,3.71
256,sinnamary,92,GF,1552530386,92,5.38,-52.96,79.98,10.76
257,marsh harbour,32,BS,1552530337,100,26.54,-77.06,72.96,19.04
258,lompoc,0,US,1552530277,62,34.64,-120.46,54.93,10.29
259,letnyaya stavka,44,RU,1552530495,99,45.43,43.44,34.71,3.15
260,leningradskiy,8,RU,1552530368,77,69.38,178.42,-12.01,3.6
261,vestmannaeyjar,88,IS,1552530086,99,63.44,-20.27,37.81,6.85
262,port elizabeth,75,US,1552530363,52,39.31,-74.98,42.71,6.93
263,peniche,0,PT,1552530344,87,39.36,-9.38,46.51,4.7
264,severo-kurilsk,92,RU,1552530250,94,50.68,156.12,31.11,20.04
265,nantucket,20,US,1552530151,74,41.28,-70.1,36.03,8.05
266,painesville,1,US,1552530212,40,41.72,-81.25,50.22,9.17
267,arraial do cabo,20,BR,1552525200,83,-22.97,-42.02,77.0,4.7
268,marystown,8,CA,1552530304,100,47.17,-55.16,27.0,7.74
269,ancud,0,CL,1552525200,81,-41.87,-73.83,50.0,5.82
270,teahupoo,75,PF,1552530183,70,-17.83,-149.27,84.09,5.82
271,odessa,90,US,1552530128,29,31.85,-102.37,61.92,32.21
272,micheweni,88,TZ,1552530310,100,-4.97,39.83,79.8,9.75
273,iqaluit,5,CA,1552530162,69,63.75,-68.52,-11.1,5.95
274,salekhard,0,RU,1552530497,69,66.54,66.62,4.33,10.54
275,henties bay,20,NA,1552528933,91,-22.12,14.28,60.01,1.99
276,trincomalee,12,LK,1552530497,72,8.58,81.23,82.05,4.83
277,kalianget,20,ID,1552527000,70,-7.35,109.91,86.0,2.24
278,tura,0,IN,1552530361,65,25.52,90.21,71.88,3.15
279,vao,80,EE,1552530270,94,59.1,26.19,32.46,7.63
280,kaeo,8,NZ,1552530108,67,-35.1,173.78,81.27,7.96
281,mabaruma,20,GY,1552530498,82,8.2,-59.78,76.96,8.41
282,bartica,20,GY,1552528800,88,6.41,-58.62,77.0,6.93
283,praia da vitoria,75,PT,1552529806,67,38.73,-27.07,57.09,13.0
284,allapalli,44,IN,1552530499,48,19.43,80.06,81.28,4.38
285,avera,1,US,1552530495,72,33.19,-82.53,63.05,6.93
286,poum,64,MK,1552530316,94,41.28,20.71,26.34,1.92
287,boissevain,90,CA,1552529700,86,49.23,-100.06,28.4,26.4
288,gimli,88,CA,1552530370,80,50.63,-96.99,31.08,8.01
289,port hardy,90,CA,1552528800,65,50.7,-127.42,44.6,5.82
290,kavieng,68,PG,1552530295,100,-2.57,150.8,81.19,10.76
291,aksu,0,KZ,1552527000,92,52.04,76.93,21.2,6.71
292,qaqortoq,0,GL,1552528200,73,60.72,-46.03,24.8,10.29
293,ketchikan,90,US,1552528380,80,55.34,-131.65,42.85,23.04
294,amga,68,RU,1552530500,72,60.89,131.98,17.11,3.71
295,marsa matruh,75,EG,1552525200,76,31.35,27.25,57.2,20.8
296,katsuura,75,JP,1552528711,31,33.93,134.5,49.37,14.99
297,pangody,56,RU,1552530500,89,65.85,74.49,19.18,12.77
298,deputatskiy,24,RU,1552530306,71,69.3,139.9,-0.4,3.94
299,makushino,88,RU,1552530501,92,55.21,67.25,34.35,13.67
300,ha tinh,56,VN,1552530501,95,18.33,105.9,76.51,8.19
301,gravdal,92,NO,1552530244,93,59.79,5.78,35.98,8.05
302,turochak,0,RU,1552530501,80,52.26,87.12,33.13,2.48
303,khatanga,0,RU,1552530260,65,71.98,102.47,-8.86,12.44
304,oshnaviyeh,0,IR,1552528800,60,37.04,45.1,39.2,2.59
305,tiruvallur,40,IN,1552528800,88,13.15,79.92,76.78,4.7
306,tornio,90,FI,1552530185,86,61.12,27.27,25.36,11.41
307,erechim,75,BR,1552525200,100,-27.64,-52.27,69.8,2.93
308,terrace,90,CA,1552528800,74,54.52,-128.61,37.4,6.93
309,quatre cocos,20,MU,1552530245,78,-20.21,57.76,73.44,5.82
310,yulara,56,AU,1552525200,18,-25.24,130.99,91.4,12.75
311,grindavik,20,IS,1552529795,100,63.84,-22.43,34.61,5.82
312,sakaiminato,75,JP,1552529893,56,35.55,133.23,46.71,8.05
313,quilpue,90,CL,1552528800,93,-33.05,-71.45,58.23,2.59
314,sarangani,88,PH,1552530503,99,5.4,125.46,79.8,6.17
315,sicuani,68,PE,1552530503,100,-14.27,-71.23,35.43,0.58
316,zambezi,76,ZM,1552530503,95,-13.55,23.12,64.77,2.93
317,yar-sale,0,RU,1552530504,73,66.83,70.83,8.16,12.1
318,trapani,40,IT,1552530373,82,38.02,12.54,53.2,18.34
319,rafai,20,CF,1552530504,91,4.95,23.92,70.48,3.38
320,general roca,75,AR,1552525200,50,-39.03,-67.58,75.2,3.36
321,tazovskiy,88,RU,1552530332,97,67.47,78.7,23.1,14.79
322,ambilobe,92,MG,1552530367,97,-13.19,49.05,73.68,3.94
323,constitucion,40,MX,1552527960,17,23.99,-104.67,64.4,13.87
324,sao filipe,0,CV,1552530289,89,14.9,-24.5,72.6,17.47
325,bingol,75,TR,1552528200,61,38.88,40.49,48.2,3.36
326,innisfail,20,CA,1552530017,73,52.02,-113.95,25.54,5.82
327,wadgassen,75,DE,1552530424,86,49.26,6.79,41.23,12.75
328,raudeberg,92,NO,1552530002,93,61.99,5.14,35.17,8.05
329,kharp,0,RU,1552530505,74,66.82,65.8,5.28,12.66
330,beloha,20,MG,1552530305,79,-25.17,45.06,71.61,13.11
331,port-cartier,90,CA,1552530210,79,50.03,-66.88,26.87,4.7
332,muzaffarnagar,80,IN,1552530506,69,29.47,77.7,63.19,5.17
333,takoradi,8,GH,1552530362,100,4.89,-1.75,82.05,8.41
334,pevek,0,RU,1552530263,100,69.7,170.27,-18.4,2.48
335,sonoita,1,US,1552530481,65,31.68,-110.66,50.85,17.22
336,bull savanna,0,JM,1552530506,82,17.89,-77.59,64.99,4.27
337,kang,0,BW,1552530507,46,-23.67,22.79,65.08,6.29
338,dum duma,64,IN,1552528800,82,27.57,95.57,66.2,2.26
339,douentza,48,ML,1552530507,39,15.01,-2.95,65.22,4.94
340,baracoa,8,CU,1552530507,100,20.35,-74.5,74.98,13.11
341,chyhyryn,44,UA,1552530507,76,49.08,32.67,26.52,8.75
342,iracoubo,80,GF,1552530507,76,5.48,-53.21,77.91,5.61
343,high level,20,CA,1552528800,86,58.52,-117.13,32.0,4.7
344,la macarena,36,CO,1552530508,75,2.18,-73.79,73.99,2.04
345,ranong,20,TH,1552528800,70,9.96,98.62,86.0,2.24
346,kabinda,64,CD,1552530508,98,-6.14,24.49,66.93,4.27
347,moron,76,VE,1552530509,91,10.49,-68.2,69.72,2.82
348,kapit,12,MY,1552530509,76,2.02,112.94,82.59,2.93
349,mackay,20,CA,1552528800,46,53.65,-115.58,31.1,4.7
350,shenjiamen,92,CN,1552530509,100,29.96,122.3,48.03,12.77
351,pisco,0,PE,1552525200,83,-13.71,-76.2,73.4,23.04
352,necochea,0,AR,1552529890,78,-38.55,-58.74,62.01,3.0
353,mount gambier,8,AU,1552525200,45,-37.83,140.78,66.2,8.05
354,oranjestad,20,AW,1552525200,83,12.52,-70.03,78.8,20.8
355,banjar,44,ID,1552530510,66,-7.37,108.54,84.88,3.6
356,new norfolk,0,AU,1552530196,32,-42.78,147.06,67.84,10.29
357,sibolga,32,ID,1552530510,90,1.74,98.78,77.14,2.26
358,hobyo,36,SO,1552530347,85,5.35,48.53,78.81,13.67
359,matay,0,EG,1552530510,61,28.42,30.79,49.11,9.19
360,san rafael,0,AR,1552530339,58,-34.61,-68.33,57.88,3.83
361,cockburn town,20,TC,1552530483,100,21.46,-71.14,76.24,12.77
362,sabang,76,PH,1552530511,96,13.72,123.58,77.82,5.17
363,baoning,90,CN,1552525200,82,25.34,110.03,59.0,8.95
364,flagstaff,75,US,1552530053,53,35.2,-111.65,26.98,10.29
365,nome,90,US,1552530509,88,30.04,-94.42,73.0,16.11
366,labuhan,0,ID,1552530512,69,-2.54,115.51,86.37,3.15
367,kahului,75,US,1552530102,83,20.89,-156.47,72.99,9.17
368,santa luzia,0,BR,1552528800,88,-19.77,-43.85,69.8,2.24
369,saint-augustin,0,FR,1552530429,93,44.83,-0.61,45.99,8.05
370,dvinskoy,76,RU,1552530513,88,62.16,45.12,19.5,2.59
371,ilheus,20,BR,1552525200,74,-14.79,-39.05,84.2,5.82
372,taguatinga,40,BR,1552528800,83,-15.83,-48.06,71.6,4.7
373,zeitz,92,DE,1552530425,70,51.05,12.13,41.81,16.11
374,lincoln,75,US,1552530500,76,40.8,-96.67,52.65,21.92
375,reforma,40,MX,1552527960,17,24.02,-104.65,64.4,13.87
376,conde,92,BR,1552530515,94,-11.81,-37.61,79.84,6.85
377,bambanglipuro,12,ID,1552530413,87,-7.95,110.28,85.11,4.27
378,kununurra,40,AU,1552527000,49,-15.77,128.74,89.6,2.24
379,pallisa,0,UG,1552530515,89,1.17,33.71,63.91,0.92
380,brewster,90,US,1552530374,64,41.76,-70.08,36.14,5.82
381,lata,92,IN,1552530355,82,30.78,78.62,39.39,1.7
382,ballina,92,IE,1552530492,93,54.11,-9.15,48.99,24.0
383,aloleng,44,PH,1552530516,95,16.13,119.78,81.28,5.73
384,san quintin,64,PH,1552530516,68,17.54,120.52,79.84,3.71
385,ust-nera,20,RU,1552530516,78,64.57,143.24,-6.97,2.71
386,khao yoi,20,TH,1552529714,70,13.24,99.82,94.78,5.82
